experiment_id,table_category,best_val_cer,best_val_wer,test_cer,test_wer,test_cer_case_insensitive,test_wer_case_insensitive,test_cer_no_punct,test_wer_no_punct,best_epoch,total_epochs,training_time_minutes,num_parameters,completed_at,experiment_name,cnn_output_channels,rnn_type,rnn_hidden_size,rnn_num_layers,finetune_lr,finetune_batch_size,augment_train,use_pretrain,freeze_cnn
exp_hyperparams_20260219_040104,hyperparams,0.0672386747159766,0.24,0.0968276081678143,0.3100921676757548,0.0,0.0,0.0,0.0,66,81,75.56078037023545,10058960,2026-02-19 05:16:37,"HP-Baseline (LR=1e-4, B=32)",512,LSTM,256,2,0.0001,32,True,False,False
exp_hyperparams_20260219_051637,hyperparams,0.0741312924846698,0.2591011235955056,0.1068502965410181,0.338706567428946,0.0,0.0,0.0,0.0,86,100,93.79056460460028,10058960,2026-02-19 06:50:25,HP-LR=5e-5,512,LSTM,256,2,5e-05,32,True,False,False
exp_hyperparams_20260219_065025,hyperparams,0.048272092028331,0.1801123595505618,0.0715121601719539,0.2354324939261887,0.0,0.0,0.0,0.0,95,100,93.36672321955363,10058960,2026-02-19 08:23:47,HP-LR=5e-4,512,LSTM,256,2,0.0005,32,True,False,False
exp_hyperparams_20260219_082347,hyperparams,0.0465370537624185,0.1730337078651685,0.070724037734347,0.2306891365547028,0.0,0.0,0.0,0.0,100,100,92.69591722885768,10058960,2026-02-19 09:56:29,HP-LR=1e-3,512,LSTM,256,2,0.001,32,True,False,False
exp_hyperparams_20260219_095629,hyperparams,0.0580881304368493,0.2141573033707865,0.0850933407634438,0.2768115383132158,0.0,0.0,0.0,0.0,85,100,101.16082158088685,10058960,2026-02-19 11:37:38,HP-Batch=16,512,LSTM,256,2,0.0001,16,True,False,False
exp_hyperparams_20260219_113738,hyperparams,0.0739411513048438,0.2655056179775281,0.105887035783943,0.3392078978828429,0.0,0.0,0.0,0.0,89,100,93.02687299251556,10058960,2026-02-19 13:10:40,HP-Batch=48,512,LSTM,256,2,0.0001,48,True,False,False
exp_augmentation_20260223_010942,augmentation,0.0485097685031135,0.1797752808988764,0.0741073916331648,0.2412556399676063,0.0,0.0,0.0,0.0,78,93,95.30669833024344,10058960,2026-02-23 02:45:01,Aug-All Combined,512,LSTM,256,2,0.001,32,True,False,False
exp_architecture_rnn_20260223_025336,architecture_rnn,0.0571611921851975,0.2086516853932584,0.082577717629264,0.2723381281092129,0.0,0.0,0.0,0.0,90,100,95.33622210423152,8482000,2026-02-23 04:28:56,BiLSTM 1x256,512,LSTM,256,1,0.001,32,True,False,False
exp_architecture_rnn_20260223_042857,architecture_rnn,0.0465370537624185,0.17,0.0687975162201966,0.22583008754001,0.0,0.0,0.0,0.0,86,100,102.86860804160436,10058960,2026-02-23 06:11:49,BiLSTM 2x256 (Baseline),512,LSTM,256,2,0.001,32,True,False,False
exp_architecture_rnn_20260223_061149,architecture_rnn,0.0475352949565052,0.1726966292134831,0.0700871711180989,0.2267941845667348,0.0,0.0,0.0,0.0,90,100,134.85892041524252,17448144,2026-02-23 08:26:40,BiLSTM 2x512,512,LSTM,512,2,0.001,32,True,False,False
exp_architecture_rnn_20260223_082640,architecture_rnn,0.0487712126253743,0.1767415730337078,0.0699518369621462,0.2272569511395626,0.0,0.0,0.0,0.0,99,100,109.3135894616445,11635920,2026-02-23 10:15:59,BiLSTM 3x256,512,LSTM,256,3,0.001,32,True,False,False
exp_architecture_rnn_20260223_101559,architecture_rnn,0.04855730379807,0.1769662921348314,0.073255582533933,0.2420654814700551,0.0,0.0,0.0,0.0,73,88,85.93362503846487,9270480,2026-02-23 11:41:55,BiGRU 2x256,512,GRU,256,2,0.001,32,True,False,False
exp_architecture_rnn_20260224_074852,architecture_rnn,0.04948424204972192,0.17651685393258426,0.07245949926362298,0.2389032432223979,0.0,0.0,0.0,0.0,98,100,114.09196019967398,14822608,2026-02-24 09:42:58,BiGRU 2x512,512,GRU,512,2,0.001,32,True,False,False
